source,target,weight,ch1_weight,ch4_weight,ch5_weight,scene_notes
Sozu,Amagimi,1,0,0,1,"Conveys Genji's request to his sister"
Genji,O_no_Myobu,2,0,0,2,"Pressures her to arrange tryst with Fujitsubo"
O_no_Myobu,Genji,2,0,0,2,"Arranges meeting; later refuses to relay messages"
O_no_Myobu,Fujitsubo,2,0,0,2,"Facilitates meeting; later withholds Genji's letters"
Fujitsubo,O_no_Myobu,1,0,0,1,"Communicates her distress"
Genji,Fujitsubo,2,0,0,2,"Secret meeting; mite mo mata poem"
Fujitsubo,Genji,2,0,0,2,"Receives him in distress; reply poem yogatari ni"
Genji,Shonagon,3,0,0,3,"Multiple visits; consultations about Murasaki; final abduction"
Shonagon,Genji,3,0,0,3,"Explains situation; describes Murasaki; eventually accompanies"
Shonagon,Murasaki,2,0,0,2,"Cares for her; warns about Genji's intentions"
Murasaki,Shonagon,2,0,0,2,"Clings to her; sleeps beside her"
Amagimi,Murasaki,2,0,0,2,"Strokes hair speaking of future; oitatsu poem"
Murasaki,Amagimi,1,0,0,1,"Mourns her after death"
Genji,Murasaki,4,0,0,4,"Sees her at Kitayama; visits; sleeps beside her; abducts to Nijo; raises her"
Murasaki,Genji,3,0,0,3,"Initially frightened; warms to him; learns calligraphy"
Hyobukyo,Murasaki,2,0,0,2,"Visits as her father; discusses taking her in"
Murasaki,Hyobukyo,1,0,0,1,"Cries before her father"
Hyobukyo,Shonagon,1,0,0,1,"Consults about Murasaki's care"
Shonagon,Hyobukyo,1,0,0,1,"Replies hesitates about the move"
Koremitsu,Shonagon,2,0,0,2,"Multiple meetings as Genji's emissary"
Shonagon,Koremitsu,2,0,0,2,"Responds describes situation"
Sozu,Koremitsu,1,0,0,1,"Provides information about Murasaki"
